timeOpen,open,high,low,close,volume,marketCap,Crypt
"Thursday, December 18, 2025",123.13,128.76,117.32,119.57,5835673225.12,67218787270.79,SOL
"Wednesday, December 17, 2025",129.25,133.44,121.56,123.12,5452646037.83,69202702903.75,SOL
"Tuesday, December 16, 2025",127.76,129.95,125.45,129.25,3918682306.62,72662411110.47,SOL
"Monday, December 15, 2025",129.48,134.72,124.00,127.76,5120043768.11,71805941863.01,SOL
"Sunday, December 14, 2025",133.25,133.59,128.90,129.48,2489001257.79,72772666645.82,SOL
"Saturday, December 13, 2025",132.32,134.25,131.99,133.25,2024059187.90,74871900567.13,SOL
"Friday, December 12, 2025",136.37,139.99,130.68,132.32,5282060649.90,74353031297.02,SOL
"Thursday, December 11, 2025",136.46,137.68,129.38,136.37,5833676784.43,76609661551.48,SOL
"Wednesday, December 10, 2025",137.91,142.44,135.86,136.47,5949930252.20,76635879494.94,SOL
"Tuesday, December 9, 2025",133.28,144.74,131.87,137.90,5869893315.87,77428872964.77,SOL
"Monday, December 8, 2025",132.10,139.21,131.67,133.28,4710407082.28,74830669809.72,SOL
"Sunday, December 7, 2025",132.35,136.23,128.29,132.09,3824892146.92,74057194708.79,SOL
"Saturday, December 6, 2025",133.32,134.07,131.51,132.35,2061286212.06,74118421051.57,SOL
"Friday, December 5, 2025",139.01,140.38,131.14,133.32,4557254539.40,74647764154.15,SOL
"Thursday, December 4, 2025",144.89,146.72,138.07,139.01,4304817494.52,77833462069.19,SOL
"Wednesday, December 3, 2025",138.67,145.73,137.94,144.90,5809364565.51,81106470290.71,SOL
"Tuesday, December 2, 2025",126.71,140.66,126.14,138.67,6173683503.40,77625902005.81,SOL
"Monday, December 1, 2025",133.56,133.61,123.31,126.71,6212210724.63,70912825779.42,SOL
"Sunday, November 30, 2025",136.08,139.94,133.56,133.56,3123775023.35,74750006558.71,SOL
"Saturday, November 29, 2025",137.39,137.89,135.12,136.08,2428334173.13,76142012742.22,SOL
"Friday, November 28, 2025",140.85,143.30,136.29,137.39,4865188881.25,76874295071.25,SOL
"Thursday, November 27, 2025",143.01,144.17,140.70,140.85,3419017563.84,78787318340.42,SOL
"Wednesday, November 26, 2025",138.89,144.47,135.63,143.01,5361639550.91,79981348495.03,SOL
"Tuesday, November 25, 2025",138.38,140.35,133.51,138.89,4512057786.93,77675802246.98,SOL
"Monday, November 24, 2025",130.71,139.48,128.54,138.37,6046925666.67,77372955306.98,SOL
"Sunday, November 23, 2025",127.55,133.33,127.55,130.71,3820042053.86,73082852637.78,SOL
"Saturday, November 22, 2025",128.50,129.64,125.40,127.55,3490973210.46,71303028390.34,SOL
